,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender
4787,2018,2017-12-16 04:54:24.529,150000.0,United States,21030,Microsoft SQL Server,18,Full time employee,Architect,No,15,30,Bachelors (4 years),Yes,"Yes, but they expired",50,Not Asked,"Education (K-12, college, university)","Stay with the same employer, same role",Male
4793,2018,2017-12-15 23:15:49.119,94245.0,United States,,Microsoft SQL Server,6,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,15,Bachelors (4 years),Yes,"Yes, but they expired",40,Not Asked,Private business,"Stay with the same employer, same role",Female
4795,2018,2017-12-15 22:42:58.000,121000.0,United States,68154,Oracle,8,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,8,7,Bachelors (4 years),Yes,"No, I never have",50,Not Asked,Private business,"Stay with the same role, but change employers",Male
4796,2018,2017-12-15 22:05:40.828,72000.0,United States,30004,Microsoft SQL Server,2,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,40,Masters,Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same role, but change employers",Male
4797,2018,2017-12-15 21:36:55.616,80000.0,United States,97305,Microsoft SQL Server,1,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,5,Bachelors (4 years),Yes,"No, I never have",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4798,2018,2017-12-15 19:30:50.396,135000.0,United States,92126,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,100,Bachelors (4 years),No,"Yes, but they expired",65,Not Asked,Private business,"Stay with the same employer, same role",Male
4799,2018,2017-12-15 16:58:12.086,116000.0,United States,27105,Microsoft SQL Server,25,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,5,400,Masters,Yes,"Yes, but they expired",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4800,2018,2017-12-15 16:54:01.328,75100.0,United States,77845,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,8,42,Bachelors (4 years),Yes,"No, I never have",45,Not Asked,Local government,Prefer not to say,Female
4801,2018,2017-12-15 16:21:49.186,58000.0,United States,,Microsoft SQL Server,3,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,100,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4803,2018,2017-12-15 15:07:19.316,40000.0,United States,63385,Microsoft SQL Server,2,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,15,Associates (2 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4804,2018,2017-12-15 14:39:00.025,72000.0,United States,93230,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,4,Bachelors (4 years),Yes,"Yes, but they expired",40,Not Asked,"Education (K-12, college, university)","Stay with the same employer, same role",Male
4805,2018,2017-12-15 14:12:41.121,99800.0,United States,54720,Microsoft SQL Server,12,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,11,175,Bachelors (4 years),No,"No, I never have",50,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4806,2018,2017-12-15 13:58:00.382,60166.0,United States,54701,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,12,25,Bachelors (4 years),Yes,"No, I never have",42,Not Asked,Private business,Prefer not to say,Female
4807,2018,2017-12-15 13:57:16.752,50000.0,United States,43205,Microsoft SQL Server,1,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,8,Bachelors (4 years),No,"No, I never have",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4808,2018,2017-12-15 13:12:49.815,128000.0,United States,94947,Microsoft SQL Server,10,Full time employee,Developer: T-SQL,No,1,10,Bachelors (4 years),No,"No, I never have",50,Not Asked,Private business,Change both employers and roles,Male
4810,2018,2017-12-15 12:40:28.181,84000.0,United States,430,Microsoft SQL Server,6,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,8,Associates (2 years),No,"Yes, but they expired",40,Not Asked,Private business,"Stay with the same role, but change employers",Male
4811,2018,2017-12-15 12:29:25.293,130.0,United States,,Microsoft SQL Server,17,Full time employee of a consulting/contracting company,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,17,500,None (no degree completed),No,"No, I never have",50,Not Asked,Private business,"Stay with the same employer, same role",Female
4812,2018,2017-12-15 12:26:21.648,140000.0,United States,92101,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,7,3,Bachelors (4 years),No,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4813,2018,2017-12-15 12:24:06.899,79000.0,United States,60098,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,10,35,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Local government,Prefer not to say,Female
4814,2018,2017-12-15 12:14:51.801,55500.0,United States,83522,Microsoft SQL Server,7,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,20,None (no degree completed),,"No, I never have",40,Not Asked,Non-profit,"Stay with the same employer, same role",Male
4815,2018,2017-12-15 12:13:54.165,121000.0,United States,92618,Microsoft SQL Server,19,Full time employee,Developer: T-SQL,No,19,40,None (no degree completed),,"Yes, but they expired",45,Not Asked,Private business,Prefer not to say,Male
4816,2018,2017-12-15 11:59:37.493,192000.0,United States,92705,Microsoft SQL Server,18,Full time employee,Manager,Yes,18,6,Bachelors (4 years),Yes,"Yes, but they expired",40,Not Asked,Private business,Prefer not to say,Male
4817,2018,2017-12-15 11:53:40.470,115000.0,United States,66210,Microsoft SQL Server,22,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,10,None (no degree completed),,"Yes, and they're currently valid",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4818,2018,2017-12-15 11:51:29.690,85000.0,United States,15203,Microsoft SQL Server,20,Full time employee,Architect,No,5,2,Bachelors (4 years),Yes,"Yes, but they expired",45,Not Asked,Private business,"Stay with the same role, but change employers",Male
4819,2018,2017-12-15 11:48:43.016,85000.0,United States,77084,Microsoft SQL Server,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,6,4,Bachelors (4 years),No,"No, I never have",70,Not Asked,Private business,"Stay with the same employer, same role",Male
4820,2018,2017-12-15 11:47:16.769,74880.0,United States,931,Microsoft SQL Server,5,Full time employee,Manager,Yes,5,3,Bachelors (4 years),No,"No, I never have",40,Not Asked,Non-profit,Change both employers and roles,Female
4821,2018,2017-12-15 11:44:02.451,108000.0,United States,4412,Microsoft SQL Server,11,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,200,None (no degree completed),,"No, I never have",40,Not Asked,Non-profit,"Stay with the same employer, same role",Male
4822,2018,2017-12-15 11:40:56.583,125000.0,United States,51503,PostgreSQL,2,Full time employee,Architect,Yes,20,100,Masters,No,"Yes, but they expired",50,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4823,2018,2017-12-15 11:38:19.253,118000.0,United States,84096,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,15,Bachelors (4 years),No,"No, I never have",42,Not Asked,Private business,"Stay with the same employer, same role",toad frog
4824,2018,2017-12-15 11:35:44.670,80000.0,United States,29201,Microsoft SQL Server,5,Full time employee,Architect,No,1,20,Bachelors (4 years),No,"Yes, and they're currently valid",45,Not Asked,Private business,Prefer not to say,Male
4825,2018,2017-12-15 11:34:12.385,116500.0,United States,605,Microsoft SQL Server,12,Full time employee of a consulting/contracting company,Architect,No,1,50,Masters,Yes,"Yes, and they're currently valid",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4826,2018,2017-12-15 11:31:03.964,88000.0,United States,72762,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",No,6,3,Bachelors (4 years),No,"No, I never have",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4827,2018,2017-12-15 11:30:26.207,150000.0,United States,98109,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,100,Associates (2 years),Yes,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4828,2018,2017-12-15 11:29:59.428,85000.0,United States,53226,Microsoft SQL Server,7,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,60,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4829,2018,2017-12-15 11:29:27.055,138000.0,United States,91355,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,0,50,Bachelors (4 years),No,"Yes, but they expired",60,Not Asked,Private business,"Stay with the same employer, same role",Male
4833,2018,2017-12-15 10:08:22.542,70000.0,United States,53027,Microsoft SQL Server,3,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,3,None (no degree completed),,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4835,2018,2017-12-15 09:01:25.286,98000.0,United States,44130,Microsoft SQL Server,3,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,5,3,Bachelors (4 years),Yes,"No, I never have",50,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4836,2018,2017-12-15 08:38:47.885,63000.0,United States,,Microsoft SQL Server,3,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,53,Masters,Yes,"No, I never have",37,Not Asked,Private business,"Stay with the same employer, same role",Female
4837,2018,2017-12-15 08:35:21.954,100000.0,United States,15129,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,1000,Associates (2 years),Yes,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4838,2018,2017-12-15 08:29:44.897,86000.0,United States,2210,Microsoft SQL Server,12,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,15,Bachelors (4 years),Yes,"No, I never have",65,Not Asked,Private business,"Stay with the same employer, same role",Male
4839,2018,2017-12-15 08:07:54.742,108000.0,United States,650,Microsoft SQL Server,8,Full time employee,Manager,Yes,1,50,Bachelors (4 years),No,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4840,2018,2017-12-15 07:58:21.603,125000.0,United States,27560,Microsoft SQL Server,23,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,22,350,Bachelors (4 years),No,"Yes, and they're currently valid",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4841,2018,2017-12-15 07:45:01.871,99000.0,United States,30326,Microsoft SQL Server,17,Full time employee,Developer: T-SQL,No,3,6,Bachelors (4 years),No,"Yes, and they're currently valid",43,Not Asked,Private business,"Stay with the same role, but change employers",Male
4842,2018,2017-12-15 07:30:52.224,92750.0,United States,14580,Microsoft SQL Server,8,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,8,450,Bachelors (4 years),Yes,"Yes, but they expired",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4851,2018,2017-12-15 02:33:23.745,650000.0,United States,650000,Amazon RDS (any flavor),10,Full time employee,Engineer,No,3,500000,Bachelors (4 years),No,"Yes, but they expired",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4855,2018,2017-12-14 23:57:51.436,76000.0,United States,84111,Microsoft SQL Server,12,Full time employee,"Developer: App code (C#, JS, etc)",No,11,8,None (no degree completed),,"No, I never have",36,Not Asked,"Education (K-12, college, university)","Stay with the same employer,  but change roles",Male
4860,2018,2017-12-14 15:47:35.430,75000.0,United States,80215,Oracle,2,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",44,Not Asked,Private business,"Stay with the same employer, same role",Male
4862,2018,2017-12-14 15:02:43.329,98000.0,United States,,Oracle,2,Full time employee,Analyst,No,2,10,Doctorate/PhD,No,"No, I never have",40,Not Asked,"Education (K-12, college, university)","Stay with the same employer, same role",Male
4863,2018,2017-12-14 14:55:07.794,123000.0,United States,85008,Microsoft SQL Server,16,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,21,35,Masters,Yes,"Yes, but they expired",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4865,2018,2017-12-14 14:46:06.564,109300.0,United States,84047,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,6,Associates (2 years),Yes,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4866,2018,2017-12-14 14:43:16.904,105000.0,United States,17055,Microsoft SQL Server,18,Full time employee of a consulting/contracting company,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,2,14,Bachelors (4 years),No,"No, I never have",40,Not Asked,State/province government,"Stay with the same employer, same role",Male
4867,2018,2017-12-14 14:33:21.545,154000.0,United States,30341,Microsoft SQL Server,21,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,21,26,Bachelors (4 years),No,"No, I never have",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4869,2018,2017-12-14 13:31:19.000,200000.0,United States,75219,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,200,None (no degree completed),,"No, I never have",60,Not Asked,Private business,"Stay with the same employer, same role",Male
4871,2018,2017-12-14 13:28:35.699,150000.0,United States,75219,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,50,None (no degree completed),,"No, I never have",60,Not Asked,Private business,"Stay with the same role, but change employers",Male
4872,2018,2017-12-14 13:09:22.484,114000.0,United States,49301,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,300,Bachelors (4 years),Yes,"Yes, but they expired",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4874,2018,2017-12-14 12:42:11.520,100000.0,United States,190,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,12,Bachelors (4 years),Yes,"No, I never have",50,Not Asked,Private business,"Stay with the same employer, same role",Female
4875,2018,2017-12-14 12:25:37.265,87000.0,United States,66219,Microsoft SQL Server,10,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,20,Bachelors (4 years),Yes,"Yes, and they're currently valid",55,Not Asked,Private business,"Stay with the same employer, same role",Female
4876,2018,2017-12-14 12:17:38.464,113000.0,United States,,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,15,Masters,Yes,"Yes, and they're currently valid",40,Not Asked,State/province government,"Stay with the same employer, same role",Female
4877,2018,2017-12-14 12:12:39.100,90000.0,United States,405,Microsoft SQL Server,13,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,13,20,Masters,No,"No, I never have",40,Not Asked,Local government,"Stay with the same employer, same role",Female
4878,2018,2017-12-14 12:03:58.754,92000.0,United States,48226,Microsoft SQL Server,9,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,40,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,Not Asked,Private business,"Stay with the same employer, same role",Female
4879,2018,2017-12-14 12:02:09.256,150000.0,United States,75225,Microsoft SQL Server,17,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,29,2,Bachelors (4 years),,"Yes, but they expired",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4881,2018,2017-12-14 11:53:10.734,101000.0,United States,60613,Microsoft SQL Server,20,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,20,900,Bachelors (4 years),Yes,"No, I never have",45,Not Asked,Private business,Prefer not to say,Male
4883,2018,2017-12-14 11:38:09.722,110000.0,United States,55103,Microsoft SQL Server,25,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,5,4,None (no degree completed),,"Yes, but they expired",40,Not Asked,State/province government,"Stay with the same employer, same role",Male
4884,2018,2017-12-14 11:36:15.355,120000.0,United States,48201,Microsoft SQL Server,18,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,75,None (no degree completed),,"Yes, but they expired",38,Not Asked,Private business,"Stay with the same employer, same role",Male
4885,2018,2017-12-14 11:31:34.144,126000.0,United States,72756,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,8,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4886,2018,2017-12-14 11:29:54.908,136000.0,United States,78733,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,3,50,None (no degree completed),,"Yes, and they're currently valid",50,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4887,2018,2017-12-14 11:16:45.690,86000.0,United States,85041,Microsoft SQL Server,16,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,16,5000,None (no degree completed),,"No, I never have",44,Not Asked,Private business,"Stay with the same employer, same role",Female
4888,2018,2017-12-14 10:59:35.995,95000.0,United States,750,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,10,Bachelors (4 years),Yes,"Yes, and they're currently valid",55,Not Asked,Private business,"Stay with the same employer, same role",Male
4890,2018,2017-12-14 10:53:54.894,71000.0,United States,63102,Oracle,4,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,10,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Local government,"Stay with the same employer, same role",Male
4892,2018,2017-12-14 10:02:00.172,57300.0,United States,15210,Microsoft Access,3,Full time employee,"Developer: App code (C#, JS, etc)",No,3,1,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Non-profit,"Stay with the same employer, same role",Male
4893,2018,2017-12-14 09:55:54.249,137000.0,United States,30126,Microsoft SQL Server,15,Full time employee,Manager,Yes,5,150,Masters,Yes,"Yes, and they're currently valid",50,Not Asked,Private business,"Stay with the same role, but change employers",Male
4894,2018,2017-12-14 09:34:52.445,85000.0,United States,46637,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,250,Masters,No,"Yes, but they expired",42,Not Asked,Private business,"Stay with the same employer, same role",Male
4896,2018,2017-12-14 09:19:54.588,40000.0,United States,59802,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,6,Associates (2 years),Yes,"Yes, but they expired",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4897,2018,2017-12-14 09:16:53.346,75000.0,United States,33027,Microsoft SQL Server,10,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,415,None (no degree completed),,"Yes, and they're currently valid",50,Not Asked,Private business,"Stay with the same role, but change employers",Female
4898,2018,2017-12-14 09:11:02.435,85000.0,United States,74103,Microsoft SQL Server,7,Full time employee,Engineer,No,7,37,Bachelors (4 years),Yes,"Yes, but they expired",42,Not Asked,Private business,"Stay with the same employer, same role",Male
4899,2018,2017-12-14 09:08:11.538,87000.0,United States,665,Microsoft SQL Server,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,9,6,None (no degree completed),,"No, I never have",41,Not Asked,Non-profit,"Stay with the same employer, same role",Male
4903,2018,2017-12-14 08:32:49.379,102494.0,United States,77449,Microsoft SQL Server,9,Full time employee,Other,No,7,50,Associates (2 years),Yes,"Yes, but they expired",45,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4904,2018,2017-12-14 08:30:42.593,86000.0,United States,,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,8,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4905,2018,2017-12-14 08:29:22.693,128593.0,United States,97060,Microsoft SQL Server,17,Full time employee,Architect,No,8,15,Associates (2 years),No,"No, I never have",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4906,2018,2017-12-14 07:53:09.999,150000.0,United States,22033,Microsoft SQL Server,12,Full time employee,Architect,No,6,12,None (no degree completed),,"Yes, and they're currently valid",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4908,2018,2017-12-14 07:36:39.012,75000.0,United States,27605,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,No,5,25,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4911,2018,2017-12-14 06:08:41.698,123500.0,United States,,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,8,70,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4922,2018,2017-12-13 22:46:48.845,155500.0,United States,92101,Microsoft SQL Server,14,Full time employee,Developer: T-SQL,No,10,20,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4923,2018,2017-12-13 22:45:39.260,105000.0,United States,970,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,243,Bachelors (4 years),Yes,"No, I never have",55,Not Asked,Private business,"Stay with the same employer, same role",Male
4924,2018,2017-12-13 22:33:07.709,95000.0,United States,805,Microsoft SQL Server,5,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,3,20,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,Prefer not to say,Male
4925,2018,2017-12-13 21:02:44.199,72000.0,United States,15068,Microsoft SQL Server,7,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,70,Bachelors (4 years),Yes,"Yes, and they're currently valid",41,Not Asked,Private business,Change both employers and roles,Male
4928,2018,2017-12-13 18:45:58.317,100000.0,United States,92602,Microsoft SQL Server,11,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,300,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer,  but change roles",Male
4929,2018,2017-12-13 17:46:27.251,88000.0,United States,80112,Microsoft SQL Server,18,Full time employee,Developer: T-SQL,Yes,5,20,None (no degree completed),,"Yes, but they expired",43,Not Asked,Private business,"Stay with the same employer, same role",Male
4930,2018,2017-12-13 17:40:18.928,103110.0,United States,48038,Microsoft SQL Server,8,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,6,Bachelors (4 years),Yes,"Yes, but they expired",40,Not Asked,Federal government,"Stay with the same employer, same role",Male
4931,2018,2017-12-13 17:29:18.680,110000.0,United States,12110,DB2,12,Full time employee of a consulting/contracting company,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,50,Masters,Yes,"Yes, and they're currently valid",40,Not Asked,State/province government,Change both employers and roles,Male
4932,2018,2017-12-13 17:16:42.065,120000.0,United States,75024,Microsoft SQL Server,3,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,1,600,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4933,2018,2017-12-13 17:16:27.280,71000.0,United States,80538,Microsoft SQL Server,18,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,17,38,Bachelors (4 years),No,"No, I never have",50,Not Asked,Local government,Prefer not to say,Prefer not to say
4935,2018,2017-12-13 16:44:00.831,89000.0,United States,985,Microsoft SQL Server,9,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,3,36,Bachelors (4 years),No,"No, I never have",50,Not Asked,Private business,"Stay with the same employer, same role",Male
4936,2018,2017-12-13 16:42:00.593,85000.0,United States,99801,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",Yes,3,6,Bachelors (4 years),No,"No, I never have",40,Not Asked,State/province government,"Stay with the same employer, same role",Male
4939,2018,2017-12-13 15:24:24.043,140000.0,United States,76513,Microsoft SQL Server,14,Full time employee,Developer: T-SQL,No,14,100,Bachelors (4 years),Yes,"No, I never have",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4940,2018,2017-12-13 15:01:39.161,115000.0,United States,84106,Microsoft SQL Server,5,Full time employee,Engineer,No,5,15,Masters,No,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4941,2018,2017-12-13 14:55:56.764,128000.0,United States,98037,Microsoft SQL Server,16,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,2,30,None (no degree completed),,"No, I never have",38,Not Asked,Private business,"Stay with the same employer, same role",Male
4942,2018,2017-12-13 14:51:59.549,82000.0,United States,,Microsoft SQL Server,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,6,20,Bachelors (4 years),No,"Yes, and they're currently valid",40,Not Asked,Private business,"Stay with the same employer, same role",Female
4943,2018,2017-12-13 14:47:38.623,99500.0,United States,,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,7,220,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4947,2018,2017-12-13 14:23:23.827,80000.0,United States,37932,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,4,2,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4948,2018,2017-12-13 14:21:02.849,325000.0,United States,22203,Microsoft SQL Server,12,Full time employee,Engineer,Yes,12,500,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4949,2018,2017-12-13 14:15:28.162,90000.0,United States,92108,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",Yes,3,6,Bachelors (4 years),Yes,"No, I never have",40,Not Asked,State/province government,"Stay with the same employer,  but change roles",Male
4950,2018,2017-12-13 14:07:45.663,96000.0,United States,84102,Microsoft SQL Server,1,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,20,Masters,Yes,"No, I never have",40,Not Asked,Private business,"Stay with the same employer, same role",Male
4951,2018,2017-12-13 13:55:01.692,111000.0,United States,,Microsoft SQL Server,8,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,5,15,None (no degree completed),,"Yes, but they expired",45,Not Asked,Private business,"Stay with the same employer, same role",Male
4952,2018,2017-12-13 13:38:25.673,110000.0,United States,37772,Microsoft SQL Server,20,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,30,Bachelors (4 years),Yes,"Yes, but they expired",40,Not Asked,Private business,"Stay with the same role, but change employers",Male
